13tezos.com,,,,,,
applefarm.xyz,DomainSure,cname.vercel-dns.com.,,,,
emergents.cards,DomainSure,,,,,
emergents.com,DomainSure,,,,,
emergentstcg.com,DomainSure,,,,,
emergentstcg.net,DomainSure,,,,,
emergentstcg.org,DomainSure,,,,,
etherlink.ai,DomainSure,cname.vercel-dns.com.,,,,
etherlink.at,DomainSure,cname.vercel-dns.com.,,,,
etherlink.build,DomainSure,cname.vercel-dns.com.,,,,
etherlink.ca,DomainSure,cname.vercel-dns.com.,,,,
etherlink.cc,DomainSure,cname.vercel-dns.com.,,,,
etherlink.cloud,DomainSure,cname.vercel-dns.com.,,,,
etherlink.com,DomainSure,cname.vercel-dns.com.,Google,,,
etherlink.fr,DomainSure,cname.vercel-dns.com.,,,,
etherlink.info,DomainSure,cname.vercel-dns.com.,,,,
etherlink.link,DomainSure,cname.vercel-dns.com.,,,,
etherlink.network,DomainSure,cname.vercel-dns.com.,,,,
etherlink.run,DomainSure,cname.vercel-dns.com.,,,,
etherlink.space,DomainSure,cname.vercel-dns.com.,,,,
etherlink.tech,DomainSure,cname.vercel-dns.com.,,,,
etherlink.to,DomainSure,cname.vercel-dns.com.,,,,
etherlinkbridge.com,DomainSure,cname.vercel-dns.com.,,,,
extz.io,,,,,,
fi-code.com,Cloudflare,,,,,
getveri.xyz,Hetzner,,,,,
hellointerpop.io,DomainSure,www.interpop.io.,,"v=spf1 include:_spf.srv.cat ~all",,
interpop.io,EasyDNS,die7d26er2apf.cloudfront.net.,Google,"v=spf1 include:_spf.google.com ~all",DKIM,
interpopcomics.com,DomainSure,,,,,
ligolang.dev,DomainSure,,,,,
ligolang.org,Google,,Google,"v=spf1 include:_spf.google.com ~all",,
manchesterunitedcollectibles.com,,,,,,
manucollectibles.com,,,,,,
minterpop.com,DomainSure,,,,,
pizzainfra.org,DomainSure,,,,,
playwithbrio.com,AWS Route53,,,,,
s-al.foundation,DomainSure,,,,,
self-amendingledger.foundation,DomainSure,,,,,
selfamendingledger.foundation,DomainSure,,,,,
simplestaking.com,Wix,cdn1.wixdns.net.,Google,,,
siriustoken.io,AWS Route53,18.244.164.61,Google,,,
sl.foundation,DomainSure,,,,,
smartpy.dev,Cloudflare,104.21.71.128,Cloudflare,"v=spf1 include:_spf.mx.cloudflare.net ~all",,
smartpy.io,Google,35.241.18.155,Cloudflare,"v=spf1 include:_spf.mx.cloudflare.net ~all",,
smartpy.org,DomainSure,,,,,
t3tezos.com,,,,,,
taqueria.dev,,,,,,
taqueria.io,Cloudflare,104.21.13.192,Cloudflare,"v=spf1 include:_spf.mx.cloudflare.net ~all",,
taqueria.tools,,,,,,
testnets.xyz,,,,,,
tezbox.cc,DomainSure,,,,,
tezbox.co,DomainSure,,,,,
tezbox.com,AWS Route53,d1f4zwdznp19e5.cloudfront.net.,Google,"v=spf1 include:_spf.google.com ~all",,
tezbox.me,DomainSure,,,,,
tezbox.online,DomainSure,,,,,
tezdev.io,,,,,,
tezedge.com,Cloudflare,,,,,
tezgear.com,DomainSure,,Google,,,
tezos-k8s.io,DomainSure,185.199.111.153,,,,
tezos-kiln.net,DomainSure,35.185.44.232,,,,
tezos.academy,Tucows,,,,,"v=DMARC1; p=none"
tezos.accountant,NameCheap,parkingpage.namecheap.com.,NameCheap,"v=spf1 include:spf.efwd.registrar-servers.com ~all",,
tezos.accountants,Tucows,,,,,"v=DMARC1; p=none"
tezos.af,,,,,,
tezos.ag,,,,,,
tezos.agency,Tucows,,,,,"v=DMARC1; p=none"
tezos.apartments,Tucows,,,,,"v=DMARC1; p=none"
tezos.asia,NameCheap,parkingpage.namecheap.com.,NameCheap,"v=spf1 include:spf.efwd.registrar-servers.com ~all",,
tezos.associates,Tucows,,,,,"v=DMARC1; p=none"
tezos.attorney,Tucows,,,,,"v=DMARC1; p=none"
tezos.bid,NameCheap,parkingpage.namecheap.com.,NameCheap,"v=spf1 include:spf.efwd.registrar-servers.com ~all",,
tezos.bio,Tucows,,,,,"v=DMARC1; p=none"
tezos.biz,NameCheap,parkingpage.namecheap.com.,NameCheap,"v=spf1 include:spf.efwd.registrar-servers.com ~all",,
tezos.build,Tucows,,,,,"v=DMARC1; p=none"
tezos.builders,Tucows,,,,,"v=DMARC1; p=none"
tezos.ca,Dynadot,77980.bodis.com.,Dynadot,,,
tezos.cab,Tucows,,,,,"v=DMARC1; p=none"
tezos.camp,Tucows,,,,,"v=DMARC1; p=none"
tezos.career,DomainSure,,,,,
tezos.careers,Tucows,,,,,"v=DMARC1; p=none"
tezos.cash,NameCheap,parkingpage.namecheap.com.,NameCheap,"v=spf1 include:spf.efwd.registrar-servers.com ~all",,
tezos.cc,,,,,,
tezos.ch,AWS Route53,13.224.222.7,Google,"v=spf1 include:_spf.google.com ~all",,"v=DMARC1; p=reject; rua=mailto:contact@tezos.ch"
tezos.charity,Cloudflare,,,,,
tezos.claims,Tucows,,,,,"v=DMARC1; p=none"
tezos.club,NameCheap,parkingpage.namecheap.com.,NameCheap,"v=spf1 include:spf.efwd.registrar-servers.com ~all",,
tezos.cn,Cloudflare,,,"v=spf1 -all",,
tezos.co,NameCheap,parkingpage.namecheap.com.,NameCheap,"v=spf1 include:spf.efwd.registrar-servers.com ~all",,
tezos.co.uk,NameCheap,parkingpage.namecheap.com.,NameCheap,"v=spf1 include:spf.efwd.registrar-servers.com ~all",,
